facility_id,reasons
FL00066,ddf_name_collision
FL00075,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00086,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00147,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00196,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00204,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00271,synthetic_cloud_unauditable
FL00281,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00291,synthetic_cloud_unauditable
FL00292,synthetic_cloud_unauditable
FL00297,synthetic_cloud_unauditable
FL00299,synthetic_cloud_unauditable
FL00300,synthetic_cloud_unauditable
FL00301,synthetic_cloud_unauditable
FL00302,synthetic_cloud_unauditable
FL00312,synthetic_cloud_unauditable
FL00324,synthetic_cloud_unauditable
FL00327,synthetic_cloud_unauditable
FL00334,synthetic_cloud_unauditable
FL00338,synthetic_cloud_unauditable
FL00343,synthetic_cloud_unauditable
FL00345,synthetic_cloud_unauditable
FL00350,synthetic_cloud_unauditable
FL00384,synthetic_cloud_unauditable
FL00426,synthetic_cloud_unauditable
FL00435,synthetic_cloud_unauditable
FL00456,ddf_name_collision
FL00492,ddf_name_collision
FL00495,ddf_name_collision
FL00550,ddf_name_collision
FL00618,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00663,ddf_name_collision
FL00668,ddf_name_collision
FL00678,synthetic_cloud_unauditable
FL00681,synthetic_cloud_unauditable
FL00683,synthetic_cloud_unauditable
FL00693,synthetic_cloud_unauditable
FL01012,ddf_name_collision;tail_sensitivity_lost_name_collision
FL10111,ddf_name_collision;tail_sensitivity_lost_name_collision
