facility_id,duration,flag,severity,detail
NY01089,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 16.7%)
NJ00863,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 7.6%)
NJ00773,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 7.6%)
NY01001,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 16.1%)
TX03442,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.3%)
MT00115,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.9%)
VA11309,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.3%)
VA11302,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.3%)
WI00285,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 10.8%)
VA00301,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.9%)
ND00415,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 6.3%)
ND00001,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 5.0%)
MT00510,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.9%)
MN00410,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 11.9%)
NY01552,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 17.0%)
IA03317,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.6%)
WY01554,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 10.6%)
MO11227,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.0%)
CO02895,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 37.4%)
KY01067,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 22.2%)
WV09903,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 26.8%)
OR00064,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 27.5%)
OR00054,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 27.8%)
CT00179,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 8.5%)
WA00728,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 17.0%)
WY00108,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 18.1%)
WY00074,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 24.6%)
MI00435,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 22.3%)
WV10702,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 17.2%)
OH00804,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.1%)
OH00805,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.1%)
OH00806,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.1%)
OH00757,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 20.7%)
NE02464,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 12.8%)
NE01138,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 16.0%)
NE00020,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 16.0%)
NE00023,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 8.7%)
NE00015,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 11.4%)
NE00026,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 11.4%)
NE01137,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 11.4%)
NE00025,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 11.8%)
VA18314,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 16.3%)
