"site","site_id","duration","dist","T","growth_factor","depth_mm"
"GLENDO DIKE NO. 1","WY01291","72h","GLO",10000,6.3462,319.35
"TWIN BUTTES","TX00022","24h","GPA",10000,2.9027,220.3
"TWIN BUTTES","TX00022","24h","PE3",10000,4.0147,304.69
"TWIN BUTTES","TX00022","24h","GNO",10000,4.8407,367.38
"TWIN BUTTES","TX00022","24h","GEV",10000,5.4064,410.32
"TWIN BUTTES","TX00022","24h","GLO",10000,7.9203,601.1
"TWIN BUTTES","TX00022","72h","GPA",10000,2.6886,244.55
"TWIN BUTTES","TX00022","72h","PE3",10000,3.9004,354.78
"TWIN BUTTES","TX00022","72h","GNO",10000,4.5564,414.44
"TWIN BUTTES","TX00022","72h","GEV",10000,4.8887,444.67
"TWIN BUTTES","TX00022","72h","GLO",10000,7.2517,659.6
"CHOKE CANYON DAM","TX04425","24h","GPA",10000,1.9238,96.03
"CHOKE CANYON DAM","TX04425","24h","PE3",10000,2.7735,138.45
"CHOKE CANYON DAM","TX04425","24h","GNO",10000,3.051,152.3
"CHOKE CANYON DAM","TX04425","24h","GEV",10000,3.0762,153.56
"CHOKE CANYON DAM","TX04425","24h","GLO",10000,4.4586,222.56
"CHOKE CANYON DAM","TX04425","72h","GPA",10000,1.7892,98.93
"CHOKE CANYON DAM","TX04425","72h","PE3",10000,2.6055,144.07
"CHOKE CANYON DAM","TX04425","72h","GEV",10000,2.728,150.84
"CHOKE CANYON DAM","TX04425","72h","GNO",10000,2.7927,154.42
"CHOKE CANYON DAM","TX04425","72h","GLO",10000,3.9392,217.81
"NEW WADDELL","AZ82929","24h","GPA",10000,2.3434,128.62
"NEW WADDELL","AZ82929","24h","PE3",10000,3.4613,189.99
"NEW WADDELL","AZ82929","24h","GNO",10000,3.9203,215.18
"NEW WADDELL","AZ82929","24h","GEV",10000,4.0595,222.82
"NEW WADDELL","AZ82929","24h","GLO",10000,6.0183,330.34
"NEW WADDELL","AZ82929","72h","GPA",10000,2.4763,181.7
"NEW WADDELL","AZ82929","72h","PE3",10000,3.6575,268.36
"NEW WADDELL","AZ82929","72h","GNO",10000,4.1824,306.88
"NEW WADDELL","AZ82929","72h","GEV",10000,4.3751,321.02
"NEW WADDELL","AZ82929","72h","GLO",10000,6.5048,477.27
"SEMINOE","WY01297","24h","GPA",10000,2.8369,95.82
"SEMINOE","WY01297","24h","PE3",10000,3.9745,134.24
"SEMINOE","WY01297","24h","GNO",10000,4.7515,160.49
"SEMINOE","WY01297","24h","GEV",10000,5.2507,177.35
"SEMINOE","WY01297","24h","GLO",10000,7.7169,260.64
"SEMINOE","WY01297","72h","GPA",10000,2.6061,111.96
"SEMINOE","WY01297","72h","PE3",10000,3.8126,163.79
"SEMINOE","WY01297","72h","GNO",10000,4.4158,189.71
"SEMINOE","WY01297","72h","GEV",10000,4.6893,201.46
"SEMINOE","WY01297","72h","GLO",10000,6.9659,299.27
"PATHFINDER DIKE","WY01296","24h","GPA",10000,2.7257,93.14
"PATHFINDER DIKE","WY01296","24h","PE3",10000,3.9212,133.99
"PATHFINDER DIKE","WY01296","24h","GNO",10000,4.6076,157.44
"PATHFINDER DIKE","WY01296","24h","GEV",10000,4.9808,170.19
"PATHFINDER DIKE","WY01296","24h","GLO",10000,7.3718,251.89
"PATHFINDER DIKE","WY01296","72h","GPA",10000,2.5262,108.95
"PATHFINDER DIKE","WY01296","72h","PE3",10000,3.7859,163.27
"PATHFINDER DIKE","WY01296","72h","GNO",10000,4.312,185.96
"PATHFINDER DIKE","WY01296","72h","GEV",10000,4.479,193.16
"PATHFINDER DIKE","WY01296","72h","GLO",10000,6.6994,288.92
"BRANTLEY","NM00500","24h","GPA",10000,2.7701,147.76
"BRANTLEY","NM00500","24h","PE3",10000,4.133,220.45
"BRANTLEY","NM00500","24h","GNO",10000,4.7845,255.2
"BRANTLEY","NM00500","24h","GEV",10000,5.0591,269.85
"BRANTLEY","NM00500","24h","GLO",10000,7.5855,404.61
"BRANTLEY","NM00500","72h","GPA",10000,3.4095,226.29
"BRANTLEY","NM00500","72h","PE3",10000,4.7151,312.94
"BRANTLEY","NM00500","72h","GNO",10000,5.7918,384.41
"BRANTLEY","NM00500","72h","GEV",10000,6.5816,436.83
"BRANTLEY","NM00500","72h","GLO",10000,9.7001,643.8
"BLUE MESA","CO01675","24h","GPA",10000,2.0401,59.55
"BLUE MESA","CO01675","24h","PE3",10000,3.0376,88.66
"BLUE MESA","CO01675","24h","GEV",10000,3.3197,96.9
"BLUE MESA","CO01675","24h","GNO",10000,3.3289,97.16
"BLUE MESA","CO01675","24h","GLO",10000,4.8915,142.77
"BLUE MESA","CO01675","72h","GPA",10000,1.9775,75.89
"BLUE MESA","CO01675","72h","PE3",10000,2.9611,113.63
"BLUE MESA","CO01675","72h","GEV",10000,3.1565,121.13
"BLUE MESA","CO01675","72h","GNO",10000,3.2092,123.15
"BLUE MESA","CO01675","72h","GLO",10000,4.649,178.41
"UPPER KLAMATH LAKE","OR00557","24h","GPA",10000,2.2494,116.12
"UPPER KLAMATH LAKE","OR00557","24h","PE3",10000,3.2941,170.05
"UPPER KLAMATH LAKE","OR00557","24h","GNO",10000,3.7189,191.98
"UPPER KLAMATH LAKE","OR00557","24h","GEV",10000,3.8442,198.45
"UPPER KLAMATH LAKE","OR00557","24h","GLO",10000,5.6683,292.62
"UPPER KLAMATH LAKE","OR00557","72h","GPA",10000,2.0922,171.83
"UPPER KLAMATH LAKE","OR00557","72h","PE3",10000,3.1337,257.38
"UPPER KLAMATH LAKE","OR00557","72h","GEV",10000,3.4385,282.41
"UPPER KLAMATH LAKE","OR00557","72h","GNO",10000,3.4427,282.75
"UPPER KLAMATH LAKE","OR00557","72h","GLO",10000,5.0869,417.8
"JACKSON LAKE","WY01385","24h","GPA",10000,1.8723,65.99
"JACKSON LAKE","WY01385","24h","PE3",10000,2.7185,95.81
"JACKSON LAKE","WY01385","24h","GEV",10000,2.9409,103.65
"JACKSON LAKE","WY01385","24h","GNO",10000,2.9576,104.24
"JACKSON LAKE","WY01385","24h","GLO",10000,4.2625,150.23
"JACKSON LAKE","WY01385","72h","GPA",10000,2.0501,105.77
"JACKSON LAKE","WY01385","72h","PE3",10000,2.9052,149.88
"JACKSON LAKE","WY01385","72h","GNO",10000,3.2722,168.82
"JACKSON LAKE","WY01385","72h","GEV",10000,3.3967,175.24
"JACKSON LAKE","WY01385","72h","GLO",10000,4.9188,253.77
"FOSS RESERVOIR","OK02503","24h","GPA",10000,2.3554,168.23
"FOSS RESERVOIR","OK02503","24h","PE3",10000,3.49,249.27
"FOSS RESERVOIR","OK02503","24h","GNO",10000,3.9502,282.13
"FOSS RESERVOIR","OK02503","24h","GEV",10000,4.085,291.76
"FOSS RESERVOIR","OK02503","24h","GLO",10000,6.0645,433.14
"FOSS RESERVOIR","OK02503","72h","GPA",10000,2.1548,185.57
"FOSS RESERVOIR","OK02503","72h","PE3",10000,3.2525,280.1
"FOSS RESERVOIR","OK02503","72h","GEV",10000,3.58,308.31
