state,facility_id,lat,lon,covered,atlas,volume,version,project_area,series_type,units,n_durations,durations
CO,CO01739,38.938332,-108.132226,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
CO,CO00109,39.04501,-108.017231,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
CT,CT00624,41.724341,-72.360528,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
CT,CT00516,41.974104,-73.266791,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
DE,DE00039,38.9814,-75.52952,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
DE,DE00029,39.23949,-75.61747,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
FL,FL00018,30.919952,-86.272337,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
FL,FL18003,28.950001,-82.330002,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
GA,GA06893,33.4,-82.693611,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
GA,GA04576,33.203056,-83.323611,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
HI,HI00077,20.815454,-156.368052,True,14.0,4.0,3.0,Hawaiian Islands,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
HI,HI00019,21.5744,-158.038,True,14.0,4.0,3.0,Hawaiian Islands,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IA,IA01775,42.3069,-95.988,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IA,IA02218,40.9711,-95.6805,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
ID,ID83075,42.5244,-114.037,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
ID,ID83074,42.7675,-114.9247,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IL,IL00516,41.13351,-90.79611,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IL,IL40092,39.297145,-90.091437,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IN,IN00035,38.45596417,-86.79531462,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
IN,IN00030,38.2219,-86.1194,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
KS,KS03447,39.57891,-99.089616,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
KS,KS01728,39.745471,-99.127576,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
